NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2)
HCD,58.33,0.4,0.7,45,1.14,5.4,-5.98,59.68,0.99,1.48,32.3,1.44,6.44,3.05
HCM,1818.53,1.16,0,48.91,0.2,21.85,89.1,2177.53,2.84,0,69.94,0.24,25.72,-18.02
HDC,622.62,1.68,0.74,57.85,0.32,32.4,3.37,432.48,5.54,0.55,60.71,0.38,23.02,-13.48
HDG,2133.27,1.14,0.77,56.17,0.23,37.83,12.45,2029.82,2.42,0.64,66.08,0.25,35.57,10.06
HHP,70.72,0.58,1.08,55.44,1.12,4.33,19.05,60.27,1.04,1.26,44.93,1.32,4.64,-2.38
HHS,237.34,0.28,2.59,7.27,0.09,58.3,-51.19,248.9,0.91,1.93,7.58,0.13,45.78,-25.27
HHV,996.99,0.57,0.38,76.45,0.06,15.04,1.34,883.98,1.63,0.42,77.4,0.06,15.61,0.62
HID,8.83,0.24,3.25,40.37,0.11,-7.85,-17.72,40.85,1,1.99,47.97,0.18,4.35,6.64
HII,-87.22,0.34,0.83,62.96,4.62,-1.33,-11.1,156.14,1.21,0.93,70.8,4.4,1.25,-5.47
HMC,23.26,0.7,0.58,66.59,2.84,0.09,-18.79,188.72,1.11,0.43,61.62,3.56,3.71,2.26
HNG,-3247.82,1.51,0.2,76,0.06,-480.69,-5.13,-995.07,2.26,0.27,57.22,0.06,-93.37,-19.78
HOT,-16.6,5.57,0.22,38.71,0.58,-41.07,-52.28,-20.97,5.06,0.73,25.04,0.32,-79.73,-42.45
HPG,13006.58,1.09,0.74,43.57,0.81,5.97,16.54,39582.6,2.29,0.71,49.07,0.97,23.06,30.55
HPX,558.04,0.38,0.74,60.69,0.17,8.71,20.91,634.7,2.87,0.83,63.18,0.17,20.17,-49.26
HQC,41.77,0.29,1.11,39.77,0.03,6.55,3.2,41.22,0.97,0.77,53.46,0.03,1.49,45.58
HRC,24.12,3.03,0.19,32.38,0.22,5.67,2.44,37.73,2.91,0.28,35,0.19,11.94,-78.09
HSG,641.37,0.63,0.41,36.07,2.28,0.51,46.31,5270.53,1.7,0.44,59.31,2.2,8.85,9.48
HSL,17.84,0.36,5.82,12.19,1.14,3.31,105.15,17.93,0.64,2.37,19.98,1.04,5.32,-3.14
HT1,400.7,0.77,0.31,45.52,0.98,2.89,13.73,561.72,1.65,0.24,41.26,0.75,5.23,20.23
HTI,147.07,0.9,0.26,70.41,0.28,13.06,17.84,133.56,1.04,0.21,70.29,0.21,10.84,7.89
HTL,50.45,0.82,0.61,34.22,3.01,3.8,-38.29,36.18,1.32,0.88,40.39,2.6,2.98,19.03
HTN,354.43,0.73,0.9,83.54,0.65,1.61,-13.38,476.04,2.64,0.98,80.22,0.93,3.91,-3.54
HTV,22.24,0.43,3.78,22.95,0.82,5.04,18.29,21.72,0.58,3.9,21.13,0.71,5.89,54.01
HU1,11.72,0.53,0.92,79.1,0.69,0.95,19.65,10.77,0.93,1.01,77.56,1,-0.48,5.92
HU3,-5.63,0.44,1.26,48.24,0.68,-4.79,18.93,2.44,0.65,0.98,57.17,0.51,0.43,-18.97
HUB,81.84,0.67,1.53,36.39,0.52,15.71,20.08,74.6,1.36,1.19,39.11,0.57,14.18,31.08
HVH,29.67,0.37,1.3,29.91,0.63,5.06,20.82,15.34,1.03,1.24,35.87,0.52,3.72,-30.66
HVN,-8927.93,-3.02,0.18,116.84,1.14,-14.69,9.72,-12158.27,97.79,0.22,99.17,0.44,-47.58,-10.81
HVX,10.6,0.27,0.22,42.5,0.98,0.25,31.7,10.97,0.78,0.12,43.62,0.86,0.13,7.71
IBC,-28.27,0.15,1.39,66.92,0.29,-6.09,-13.34,306.36,1.09,1.44,66.45,0.44,5.52,9.17
ICT,29.44,0.67,1.33,54.38,0.73,0.76,-3.09,100.27,0.9,1.07,66.16,0.98,2.8,24.76
IDI,855.06,0.74,0.85,58.55,1.01,7.05,12.21,407.18,1.16,1.03,58.4,0.75,2.51,5.77
IJC,717.22,0.69,0.42,41.5,0.3,25.97,11.41,885.72,2.03,0.4,50.89,0.39,23.87,-27.82
ILB,146.82,1.19,0.81,67.71,0.39,16.4,3.8,121.03,1.7,1.08,66.71,0.37,14.52,18.29
IMP,295.2,2.12,1.75,16.8,0.72,13.6,98.98,244.36,2.89,1.67,21.8,0.58,14.93,46.95
ITA,-216.46,0.35,1.2,14.11,-0.12,11.2,12.11,342.45,1.41,1.08,16.91,0.07,28.42,21.92
ITC,233.2,0.3,0.37,47.44,0.19,15.61,7.89,233.84,0.99,0.29,51.37,0.17,19.29,8
KBC,2241.44,1.04,1.46,48.86,0.03,166.68,-1.25,1844.5,2.14,2.18,47.16,0.16,22.46,-8.54
KDC,743.51,2.37,0.88,49.76,0.89,2.99,-6.33,865.72,1.97,0.84,51.01,0.79,6.22,-0.29
KDH,1419.94,1.61,2.3,45.24,0.16,37.17,-10.74,1555.91,3.21,2.52,28.88,0.26,32.22,-48.41
KHG,674.64,0.36,0.9,27.04,0.21,31.69,-53.82,571.02,1.36,1.52,26.84,0.29,32.1,-144.49
KHP,139.86,0.63,1.26,67.34,2.39,1.14,20.82,114.33,1.9,1.09,68.28,2.09,1.1,10.53
KMR,33.42,0.25,0.65,31.76,0.6,2.83,18.67,35.96,0.91,0.43,42.52,0.45,3.65,1.75
KOS,131.06,3.6,0.81,52.77,0.31,1.63,-21.6,56.21,3.07,1.37,41.58,0.36,2.04,-17.81
KPF,82.39,0.93,42.29,1.52,0,3577.31,-70.23,87.81,1.4,62.7,29.45,0.04,141.02,260.14
KSB,319.53,0.74,1.51,54.25,0.21,17.73,5.72,395.89,1.86,1.67,55.13,0.22,28.59,2.01
L10,26.49,0.96,1.31,75.57,0.9,1.63,-14.42,28.42,1.09,1.01,80.11,0.93,1.37,22.76
LAF,42.39,1.2,0.35,53.66,1.49,5.05,-47.45,46.97,1.84,0.86,29.77,1.7,9.54,2.56
LBM,152.16,1.54,1.05,25.12,1.77,10.9,95.94,100.62,1.96,1.38,20.13,1.58,10.43,150.65
LCG,317.51,0.55,1.21,47.85,0.19,19.32,-34.73,333.51,1.57,1.1,58.85,0.3,10.03,9.35
LDG,97.02,0.31,1.18,58.74,0.04,1.45,-0.77,230.45,1.59,1.49,52.58,0.05,43.78,-26.59
LEC,22.08,0.34,1.12,67.38,0.16,-5.13,-2.83,31.55,0.89,1.06,59.41,0.56,0.56,-3.92
LGC,781.76,2.27,0.55,62,0.11,34.65,7.61,486.72,1.98,0.83,61.5,0.07,34.2,4.61
LGL,51.9,0.24,0.83,59.16,0.09,8.97,-30.03,63.98,0.9,0.83,56.07,0.07,3.68,2.13
LHG,268.48,0.7,1.7,48.91,0.22,32.43,18.75,390.67,1.81,1.7,48.54,0.29,37.91,34.14
LIX,266.64,1.57,1.28,31.17,2.35,7.57,42.8,215.14,2.18,0.94,35.85,2.39,6.41,50.89
LM8,64.93,0.26,0.61,78.02,1.01,1.07,5.98,65.32,0.51,0.57,78,0.98,1,7.7
MCG,-84.49,0.7,0.17,81.92,0.05,-183.18,-1.53,-36.31,2.93,0.87,70.73,0.21,-21.09,2.99
MCP,17.9,1.04,1.29,25.46,1.6,2.18,22.06,32.47,1.92,1.21,33.19,1.22,5.24,-0.59
MDG,32.32,0.72,1.24,56.8,0.95,5.99,1.61,24.09,0.89,1.19,56.97,0.59,7.45,1.8
MHC,32.58,0.31,15.39,54.72,0.04,-38.99,18.21,102.18,1.1,4.31,61.42,0.02,204.36,-1.53
MIG,200.16,1.28,0.96,77.85,0.5,4.22,1.95,280.7,1.95,1.19,73.39,0.44,8.43,2.84
MSH,472.96,1.44,1.37,47.82,1.7,6.12,56.52,552.69,2.65,1.01,53.31,1.63,9.32,11.71
MSN,9994.85,3.61,0.51,74.08,0.57,6.24,-3.62,16158.21,4.77,0.89,66.42,0.73,11.4,1.37
MWG,7418.5,2.62,0.73,57.14,2.25,3.07,25,7146.01,4.75,0.54,67.64,2.26,3.99,0.4
NAF,121.65,0.54,1.31,48.92,1.04,4.51,5.9,122.49,1.47,1.28,49.43,1.01,4.81,13.2
NAV,26.16,1.47,20.35,4.52,0.68,23.07,-895.39,20.07,1.88,2.01,43.57,0.34,30.13,-30.57
NBB,194.14,0.71,0.77,71.51,0.09,1.54,-25.05,520.17,2.45,0.39,58.15,0.13,55.39,-4.06
NCT,297.03,5.16,5.3,13.64,1.4,32.23,324.84,281.02,4.7,4.38,17.45,1.41,30.13,227.54
NHA,3.98,1.12,0.55,38.73,0.18,1.73,27.06,3.04,7.41,0.48,43.8,0.3,1.95,-19.44
NHH,188.58,0.73,0.95,45.45,1.11,4.71,4.61,138.89,2.23,0.65,65.49,1.16,3.46,-6.57
NHT,83.42,0.75,0.49,41.88,1.09,7.53,42.62,76.71,1.52,0.31,56.39,1.06,5.85,12.07
NKG,216.4,0.6,0.42,60.23,1.6,-0.29,-10.16,2805.71,1.49,0.41,62.83,2.43,7.9,-3.19
NLG,1217.46,0.89,0.98,50.85,0.17,19.95,-1.63,1742.37,1.82,1,42.72,0.28,28.39,12.84
NNC,50.54,1.38,2.97,13.26,0.22,51.72,85.9,45.03,2.04,2.41,14.93,0.43,24.28,124.91
NSC,277.48,0.94,1.1,33.5,0.96,11.93,32.07,263.34,1.09,1.04,32.47,1.03,11.7,21.26
NT2,958.4,1.8,1.5,38.03,1.25,10.05,48.87,586.19,1.79,0.95,36.09,0.95,8.68,44.93
NTL,136.79,0.75,0.95,22.96,0.25,24.87,-53.22,301.45,2.07,1.06,34.52,0.31,41.26,50.62
NVL,4955.83,0.61,0.86,82.54,0.05,20.6,-1.54,5600.54,4.27,0.93,79.6,0.09,23.18,2.39
NVT,57.14,1.42,0.94,51.48,0.31,5.09,13.55,-47.42,2.08,1.07,50.04,0.16,-49.06,4.71
OGC,129.39,2.36,1.45,64.35,0.34,5.93,19.08,122.46,2.44,1.62,58.8,0.11,25.58,-6.7
OPC,180.85,2.02,1.36,30.03,0.94,12.15,9.64,164.06,2.05,0.74,39.99,0.94,10.98,38.52
ORS,521.44,0.75,0,65.59,0.47,4.99,-18.12,450.21,2.4,0,54.41,0.39,15.65,-124.36
PAC,254.17,1.67,0.63,61.73,1.39,4.65,-1.41,268.34,1.98,0.74,65.02,1.25,5.7,15.03
PAN,1163.45,0.4,0.93,51.11,0.88,5.67,3.1,779.89,1.06,1.26,49.55,0.7,5.52,-19.17
PC1,1212.24,0.77,1.18,67.31,0.41,6.32,7.01,1211.92,1.47,0.98,66.39,0.67,7.78,0.75
PDN,306.53,3.13,1.59,33.14,0.9,21.94,64.06,213.11,2.38,1.35,36.52,0.83,18.01,54.08
PDR,351.06,3.05,5.65,28.18,0.1,24.05,24.1,2501.35,5.76,0.36,60.37,0.2,51.39,6.42
PET,375.22,0.82,0.77,77.64,2.01,0.95,-8.1,496.41,1.69,0.9,77.16,2.38,1.77,-2.31
PGC,216.2,1.27,1.06,67.99,1.62,3.15,11.77,192.39,1.65,1.11,64.21,1.55,3.74,5.26
PGD,519.67,1.49,1.53,56.94,3.24,3.66,23.37,323.25,2.17,1.46,58.62,2.72,2.82,-1.27
PGI,252.68,1.7,1.12,74.17,0.47,6.63,6.07,436.86,1.45,1.13,72.07,0.49,11.59,0.73
PGV,4634.18,1.15,1.4,73.36,0.7,5.39,0.32,5133.78,2.53,1.51,74.38,0.54,8.42,2.56
PHC,74.67,0.44,0.73,75.38,0.74,1.03,0.95,112.75,1.26,0.8,71.74,0.42,5.87,-13.45
PHR,1143.84,1.55,2.11,45.72,0.28,54.18,26.96,617.15,3.11,2.02,48.41,0.31,26.39,8.72
PIT,17.34,0.55,0.71,56.57,2.63,0.4,27.16,7.48,1.16,0.71,65.06,2.64,-0.65,4.44
PJT,43.34,0.69,0.47,38.58,1.6,2.79,43.4,46.64,0.91,0.42,43.51,1.22,3.52,29.46
PLP,130.53,0.26,0.84,59.24,1.07,0.92,-15.41,203.36,0.95,0.64,71.19,1.24,5.06,-14.52
PLX,2906.97,1.45,0.72,62.33,4.39,0.63,9.61,4391.87,2.42,0.8,56.38,2.68,1.85,-1.8
PMG,34.45,0.81,0.55,59.86,1.21,-0.63,1.16,-72.13,1.2,0.62,62.25,0.97,-6.9,-0.45
PNC,17.71,0.6,0.62,69.53,1.35,1.87,8.89,-14.76,0.96,0.59,70.23,0.82,-3.61,0.56
PNJ,2405.38,2.58,0.31,35.53,2.83,5.33,1.98,1383.61,3.64,0.12,43.38,2.05,5.26,-15.68
POM,-705.67,0.61,0.37,77.16,0.99,-9.03,0.18,610.62,1.1,0.43,75.36,1.07,1.3,-4.08
POW,3246.76,0.75,1.25,41.45,0.51,9.05,13.4,2848.94,1.32,0.99,41.25,0.46,8.36,23.55
PPC,558.63,0.79,3.9,10.63,0.94,9.42,-175.41,177.27,1.59,3.35,10.91,0.61,5.59,89.28
PSH,46.12,0.4,0.13,84.69,0.74,-3.22,4.42,585.4,1.54,0.15,81.03,0.59,5.57,-0.46
PTB,724.92,1.03,0.56,47.29,1.29,7.3,29.68,749.24,2.01,0.5,55.98,1.27,8.1,5.25
PTC,-26,0.5,1.4,58.09,0.06,-88.41,-14.63,72,2,1.1,37.81,0,-5700,22.27
PTL,-116.41,0.67,2.27,24.39,0.07,-189.96,-112.08,28.08,2.18,1.97,36.87,0.08,29.12,10.17
