NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2),TARGET
CTR,345,4.6,0.9,72.65,1.64,4.31,5.82,240,2.7,1.1,64.53,2.09,3.71,43.12,0
CTR,478,6.1,1,66.92,1.88,5.04,22.17,345,4.6,0.9,72.65,1.64,4.31,5.82,0
CVT,168,1.9,0.5,45.19,0.94,9.26,39.37,234,1,0.2,43.31,1.19,11.24,52.81,0
CVT,169,2.1,1.2,67.96,0.59,6.51,12.24,168,1.9,0.5,45.19,0.94,9.26,39.37,0
D2D,337,1.7,2.6,51.6,0.18,75.07,-28.92,469,1.8,1.9,62.03,0.36,49.08,41.55,0
D2D,303,1.5,8.1,38.58,0.26,51.48,-53.85,337,1.7,2.6,51.6,0.18,75.07,-28.92,0
DAG,59,0.5,0.5,61.27,1.01,0.45,5.32,118,0.5,0.5,58.36,1.01,3.24,5.2,0
DAG,75,1.3,0.5,66.49,0.96,0.31,-1.19,59,0.5,0.5,61.27,1.01,0.45,5.32,0
DAH,-9,1,0.1,46.42,0.02,-275,-0.35,25,2.2,0.3,41.99,0.19,0.85,4.96,0
DAH,67,1.2,3.4,23.43,0.61,5.06,-40.15,-9,1,0.1,46.42,0.02,-275,-0.35,0
DAT,126,2.2,1.2,60.59,1.32,2.41,11.48,123,1.4,1.2,62.6,1.58,2.49,-4.06,0
DAT,92,1.6,1.2,58,1.39,1.55,10.18,126,2.2,1.2,60.59,1.32,2.41,11.48,0
DBC,1864,1.4,0.3,58.35,0.99,13.97,36.8,627,0.7,0.3,68.45,0.75,4.24,7.54,0
DBC,1162,1.8,0.3,56.86,1,7.68,9.49,1864,1.4,0.3,58.35,0.99,13.97,36.8,0
DBD,200,2.5,1.8,31.25,0.87,12.57,47.44,184,2.9,1.2,42.44,0.78,11.25,-0.15,0
DBD,233,2.5,2.4,26.86,1,12.12,28.16,200,2.5,1.8,31.25,0.87,12.57,47.44,0
DBT,41,0.9,0.5,72.38,0.93,1.67,-14.31,46,0.8,0.5,66.67,1.1,3.31,-16.6,0
DBT,41,1.1,0.4,74.59,0.78,2.12,-6.47,41,0.9,0.5,72.38,0.93,1.67,-14.31,0
DC4,43,1.3,1.1,40.68,0.75,6.87,16.6,35,1.2,0.7,48.71,0.61,6.42,-58.88,0
DC4,58,1.9,1.6,38.7,0.63,6.84,-39.74,43,1.3,1.1,40.68,0.75,6.87,16.6,0
DCL,119,2,3.5,46.06,0.37,10.28,11.22,143,2,3.5,48.36,0.44,11.57,9.18,0
DCL,142,3,1.5,42.62,0.4,12.5,5.01,119,2,3.5,46.06,0.37,10.28,11.22,0
DCM,760,1.1,1.5,27.43,0.87,8.76,74.49,550,0.5,0.9,39.97,0.69,6.08,33.72,0
DCM,1975,2.5,1.6,32.46,0.89,18.5,71.48,760,1.1,1.5,27.43,0.87,8.76,74.49,0
DGC,1021,2,1.5,30.79,1.06,15.2,59.31,627,0.9,1.1,26.9,1.08,11.24,66.69,0
DGC,2651,4.4,2.1,25.68,1.12,26.32,119.74,1021,2,1.5,30.79,1.06,15.2,59.31,0
DGW,361,3.3,1.1,62.24,4.08,2.13,43.25,258,1.1,0.6,61.54,3.53,1.92,19.39,0
DGW,852,6.4,0.7,72.79,3.2,3.13,3.13,361,3.3,1.1,62.24,4.08,2.13,43.25,0
DHA,122,1.4,7.6,9.89,0.8,25.65,225.53,84,1,7.1,9.37,0.78,20.48,145,0
DHA,112,1.5,6.9,11.86,0.63,26.71,219.05,122,1.4,7.6,9.89,0.8,25.65,225.53,0
DHC,449,2.7,1.1,38.92,1.26,13.57,53.43,250,1.8,1,47.09,0.68,12.73,19.3,0
DHC,528,3.4,1.2,29.32,1.73,11.55,45.03,449,2.7,1.1,38.92,1.26,13.57,53.43,0
DHG,835,3.6,3.3,19.76,0.84,19.68,93.97,736,3.3,3.4,18.54,0.94,16.19,108.97,0
DHG,876,3.8,3.5,17.86,0.87,19.39,54.79,835,3.6,3.3,19.76,0.84,19.68,93.97,0
DHM,-69,1.1,0.5,46.44,1.75,-8.7,6.64,17,0.3,0.7,37.08,1.95,0.45,10.43,0
